Name,ID,Site,Residential
Building 1,1,1,NR
Building 2,2,1,NR
Law,4,1,NR
Eustice,5,1,NR
Nuffield Theatre,6,1,NR
Lanchester,7,1,NR
A B Woods Laboratory,8,1,NR
Engineering Workshops,9,1,NR
Energy Centre (CHP),11,1,NR
Tizard,13,1,NR
Workshop adjacent to B13,13A,1,NR
Wolfson/Rayleigh,15,1,NR
Building 16,16,1,NR
R J Mitchell Wind Tunnel,17,1,NR
Jubilee Sports Complex,18,1,NR
ISVR,19,1,NR
High Voltage Laboratory,20,1,NR
Faraday,21,1,NR
Civil Eng Temp Accommodation,22,1,NR
EScience Building,25,1,NR
Building 26,26,1,NR
Chemistry,27,1,NR
Froude,28,1,NR
Graham Hills,29,1,NR
Synthetic Chemistry,30,1,NR
Combinatorial Chemistry,30A,1,NR
Hartley Store,31,1,NR
EEE Building,32,1,NR
Estates (Maintenance),33,1,NR
Education,34,1,NR
David Kiddle,35,1,NR
Library (inc. blds 10 12 & 14),36,1,NR
George Thomas,37,1,NR
George Thomas Building Exten,37A,1,NR
Staff Social Centre,38,1,NR
Soton Stat Sci Res Institute,39,1,NR
West Bld & Staff Social Centre,40,1,NR
Day Nursery,41,1,NR
Students' Union/Refectory,42,1,NR
Shackleton,44,1,NR
Geodata Institute,44A,1,NR
Potting Shed behind B44,44B,1,NR
Health Profs & Rehab Sciences,45,1,NR
Physics,46,1,NR
University Health Centre,48,1,NR
John Hansard Gallery,50,1,NR
Turner Sims Concert Hall,52,1,NR
New Mountbatten,53,1,NR
Mathematics,54,1,NR
Human Performance Laboratory,56,1,NR
Students' Union Retail Centre,57,1,NR
Murray,58,1,NR
Building 58A,58A,1,NR
New Zepler,59,1,NR
Gower,60,1,NR
Ship Science Store,61,1,NR
Nightingale,67,1,NR
Life Sciences,85,1,NR
Portacabin by Gower Building,86,1,NR
Interchange Kiosk,115,1,NR
26 University Road,1050,1,NR
28 University Road,1051,1,NR
31 University Road,1101,1,NR
39 University Road,1102,1,NR
41 University Rd - Chaplaincy,1104,1,NR
43 University Road,1105,1,NR
45 University Road,1106,1,NR
47 University Road,1107,1,NR
130 Burgess Road,1220,1,NR
134 Burgess Road,1221,1,NR
136 Burgess Road,1222,1,NR
44 Chamberlain Road,1419,1,NR
46 Chamberlain Road S/Union,1420,1,NR
P/kabin Occ Health rr 26/28 UR,9014,1,NR
Plumbers' Store behind B35,9019,1,NR
8 Chamberlain Road,1401,1,R
10 Chamberlain Road,1402,1,R
12 Chamberlain Road,1403,1,R
14 Chamberlain Road,1404,1,R
16 Chamberlain Road,1405,1,R
18 Chamberlain Road,1406,1,R
20 Chamberlain Road,1407,1,R
22 Chamberlain Road,1408,1,R
24 Chamberlain Road,1409,1,R
26 Chamberlain Road,1410,1,R
28 Chamberlain Road,1411,1,R
30 Chamberlain Road,1412,1,R
32 Chamberlain Road,1413,1,R
34 Chamberlain Road,1414,1,R
36 Chamberlain Road,1415,1,R
38 Chamberlain Road,1416,1,R
40 Chamberlain Road,1417,1,R
42 Chamberlain Road,1418,1,R
48 Chamberlain Road,1421,1,R
50 Chamberlain Road,1422,1,R
52 Chamberlain Road,1423,1,R
54 Chamberlain Road,1424,1,R
56 Chamberlain Road,1425,1,R
58 Chamberlain Road,1426,1,R
17 Hartley Avenue,1501,1,R
19 Hartley Avenue,1502,1,R
21 Hartley Avenue,1503,1,R
