"route-id","seq","stop-id"
326,1,HAA13579
326,2,SN120635
326,3,SNA13767
326,4,SNA13768
326,5,HA120625
326,6,SNA09343
326,7,SN120553
326,8,SN120520
326,9,SN120527
326,10,SN12524D
326,11,SN120522
326,12,SN120535
326,13,SN120405
326,14,SN120401
326,15,SN120398
326,16,SN120788
326,17,SN120282
326,18,SN120281
326,19,SN120276
326,20,SN12272A
326,21,SN120268
326,22,SN120267
326,23,SN120257
326,24,SNA19777
326,25,SN120131
326,26,SN120139
326,27,SN120137
326,28,SN120144
326,29,HAA13379
326,30,HAA13380
326,31,SN120160
326,32,HAA13650
326,33,SN120162
326,34,HAA13386
326,35,SN120998
326,36,HA030183
326,37,HA030200
326,38,HAA09425
326,39,HA030198
326,40,HA030203
326,41,HA030204
326,42,HA030206
326,43,HA030212
326,44,HA030212
326,45,HA030207
326,46,HA030205
326,47,HA030202
326,48,HA030199
326,49,HAA09426
326,50,HA030201
326,51,HA030183
326,52,HA030184
326,53,HAA09424
326,54,SN120999
326,55,SN120164
326,56,SN120163
326,57,HAA13651
326,58,SNA19780
326,59,HAA13381
326,60,SN120147
326,61,SN120145
326,62,SN120140
326,63,SN120136
326,64,SN120134
326,65,HAA13668
326,66,SN120256
326,67,SN120266
326,68,SN120269
326,69,SN12275A
326,70,SN120278
326,71,SN120280
326,72,SN120283
326,73,SN120399
326,74,SN120400
326,75,SN120404
326,76,SN120406
326,77,SN120536
326,78,SNA40402
326,79,SN120525
326,80,HAA13584
326,81,SN120520
326,82,SN121031
326,83,HAA13583
326,84,HA120626
326,85,SNA13769
326,86,SNA13766
326,87,SNA09285
326,88,MG1031
468,1,HAA13649
468,2,SNA13768
468,3,HA120625
468,4,haa13647
468,5,SN120527
468,6,SN12524D
468,7,SN120522
468,8,SN120539
468,9,SN120537
468,10,SN120409
468,11,SN120413
468,12,SN120279
468,13,SN12272A
468,14,SN120268
468,15,SN120267
468,16,SN120257
468,17,SNA19777
468,18,SN120131
468,19,SN120139
468,20,SN120137
468,21,SN120144
468,22,HAA13379
468,23,HAA13380
468,24,SN120160
468,25,HAA13650
468,26,SN120162
468,27,HAA13386
468,28,SN120998
468,29,HA030183
329,1,SN120527
329,2,SN12524D
329,3,SN120522
329,4,SN120535
329,5,SN120405
329,6,SN120401
329,7,SN120398
329,8,SN121052
329,9,SNA13670
329,10,SNA09299
329,11,SNA19495
329,12,SN120121
329,13,SN120127
329,14,SN120134
329,15,SNA19777
329,16,SN120900
329,17,SN120125
329,18,SN120130
329,19,SN120141
329,20,SN120142
329,21,SN120031
329,22,SNA09298
329,23,SNA09298
329,24,SNA09388
329,25,SN121009
329,26,SN121005
329,27,SNA09313
329,28,SNA09300
329,29,SN120124
329,30,SN120126
329,31,SN120134
329,32,HAA13668
329,33,SN120128
329,34,SN120120
329,35,SN121054
329,36,SN121055
329,37,SN120400
329,38,SN120404
329,39,SN120406
329,40,SN120536
329,41,SNA40402
329,42,SN120526
329,43,SN120527
327,1,HAA13579
327,2,SN120635
327,3,SNA13767
327,4,SNA13768
327,5,HA120625
327,6,SNA09343
327,7,SN120553
327,8,SN120527
327,9,SNA40401
327,10,SN120913
327,11,SN120539
327,12,SN120537
327,13,SN120409
327,14,SN120413
327,15,SN120279
327,16,SN12272A
327,17,SN120284
327,18,SN120289
327,19,SN120159
327,20,SN120157
327,21,SN120153
327,22,SN120150
327,23,SN120163
327,24,HAA13651
327,25,SNA19780
327,26,HAA13381
327,27,SN120147
327,28,SN120145
327,29,SN120140
327,30,SN120136
327,31,SN120134
327,32,SNA19777
327,33,SN120128
327,34,SN120120
327,35,SN120118
327,36,SN120117
327,37,SN120114
327,38,SN120113
327,39,SN120098
327,40,SN120233
327,41,SN120231
327,42,SN120225
327,43,SN120221
327,44,SNA19482
327,45,SNA19482
327,46,SN120979
327,47,SN120084
327,48,SN120222
327,49,SN120223
327,50,SN120224
327,51,SN120228
327,52,SN120232
327,53,SN120097
327,54,SN120112
327,55,SN120111
327,56,SN120115
327,57,SN120119
327,58,SN120121
327,59,SN120127
327,60,SN120134
327,61,HAA13668
327,62,SN120131
327,63,SN120139
327,64,SN120137
327,65,SN120144
327,66,SN120146
327,67,SN12151A
327,68,SN120163
327,69,HAA13651
327,70,SN120161
327,71,HA120154
327,72,SN120158
327,73,SN120287
327,74,SN120300
327,75,SN120285
327,76,SN12275A
327,77,SN120415
327,78,SN120412
327,79,SN120411
327,80,SN120410
327,81,SN120538
327,82,SN120540
327,83,SN120914
327,84,SN120533
327,85,HAA13584
327,86,SN121031
327,87,HAA13583
327,88,HA120626
327,89,SNA13769
327,90,SNA13766
327,91,HA120633
327,92,SNA09285
327,93,MG1031
354,1,SN120171
354,2,SN120319
354,3,HA120322
354,4,HA120323
354,5,SN120443
354,6,SN120438
354,7,SN120316
354,8,SN120314
354,9,SN120297
354,10,SN120290
354,11,SN120293
354,12,SN120295
354,13,SN120313
354,14,SN120296
354,15,SN120294
354,16,SN120310
354,17,HA120307
354,18,HA120305
354,19,HA120303
354,20,SN120274
354,21,SN120268
354,22,SN120267
354,23,SN120257
354,24,SNA19777
354,25,SN120128
354,26,SN120120
354,27,SNA09451
354,28,SN120099
354,29,SN120243
354,30,SN120245
354,31,SN120247
354,32,SN120388
354,33,SNA09452
354,34,SNA09436
354,35,SNA09454
354,36,SN120236
354,37,SN120230
354,38,SN120225
354,39,SN120221
354,40,SN120082
354,41,SN120084
354,42,SN120222
354,43,SN120223
354,44,SN120224
354,45,SN120228
354,46,SN120235
354,47,SN120237
354,48,SNA09437
354,49,SNA09453
354,50,SNA09195
354,51,SN120248
354,52,SN120246
354,53,SN120242
354,54,SN120100
354,55,SNA09450
354,56,SN120121
354,57,SN120127
354,58,SN120134
354,59,SNA19777
354,60,SN120256
354,61,SN120266
354,62,SN120269
354,63,SN120273
354,64,SN120302
354,65,HA120304
354,66,HA120306
354,67,SN120308
354,68,SN120311
354,69,SN120312
354,70,SN120292
354,71,SN120291
354,72,SN120775
354,73,SN120774
354,74,SN120171
